Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10245049	2077474	1945225	93.6	278	236	221	173	64	19	0	19	93	0	0	221	0
SRR10245050	146766	133140	90.7	227	113	110	60	9	1	0	0	0	0	0	110	0
SRR10245051	1692331	1447466	85.5	273	237	226	190	102	40	0	4	35	0	0	226	0
SRR10245052	1195088	930803	77.9	266	233	225	203	137	91	1	3	5	0	0	225	0
SRR10245053	1122294	854764	76.2	261	232	219	198	140	89	1	6	11	0	0	219	0
SRR10245054	3860411	3138729	81.3	280	242	230	206	138	89	0	6	9	0	0	230	0
SRR10245055	2376149	1997207	84.1	269	238	229	197	138	92	1	2	4	0	0	229	0
SRR10245056	963339	836691	86.9	275	226	217	187	124	78	0	3	11	0	0	217	0
SRR10245057	1217415	998309	82.0	271	230	220	196	138	86	0	2	3	0	0	220	0
SRR10245058	2069070	1779645	86.0	274	238	226	196	135	85	0	2	6	0	0	226	0
SRR10245059	1577019	1298592	82.3	263	231	218	194	136	90	1	1	2	0	0	218	0
SRR10245060	4179007	3699192	88.5	290	247	238	206	119	56	0	13	43	0	0	238	0
SRR10245061	2404762	2119104	88.1	270	237	227	193	134	88	0	1	7	0	0	227	0
SRR10245062	2948128	2502452	84.9	283	244	233	199	108	60	0	5	50	0	0	233	0
SRR10245063	4538900	3635891	80.1	292	248	235	214	144	95	1	4	15	0	0	235	0
SRR10245064	1419546	1159677	81.7	268	235	227	199	134	90	0	4	5	0	0	227	0
SRR10245065	1961529	1723624	87.9	276	240	230	195	115	62	0	4	31	0	0	230	0
SRR10245066	2449299	2156153	88.0	280	243	232	195	104	43	0	2	64	0	0	232	0
SRR10245067	3561228	3171901	89.1	274	238	229	189	100	45	0	2	27	0	0	229	0
SRR10245068	2223758	1870311	84.1	272	240	229	198	135	85	0	5	8	0	0	229	0
SRR10245069	907157	768209	84.7	269	234	224	195	121	65	0	3	9	0	0	224	0
SRR10245070	5321648	4515823	84.9	286	253	237	200	110	57	1	5	50	0	0	237	0
SRR10245071	2972334	2651358	89.2	293	243	230	193	100	40	0	14	59	0	0	230	0
SRR10245072	2234539	1870606	83.7	271	239	224	200	139	89	0	2	9	0	0	224	0
SRR10245073	3377121	2905884	86.0	293	245	230	202	132	82	0	3	17	0	0	230	0
SRR10245074	2604177	2167287	83.2	280	235	224	201	142	94	1	4	6	0	0	224	0
SRR10245075	5246253	4672139	89.1	295	246	232	198	120	64	1	11	61	0	0	232	0
